sample	gene	n_cpgs	methylated_count	total_count	weighted_average
nc3	g15063	14	0	213	0.0
nc3	g15064	52	0	733	0.0
nc3	g15065	16	0	187	0.0
nc3	g15066	39	0	556	0.0
nc3	g15067	118	1	2003	0.0499
nc3	g15068	154	1	2034	0.0492
nc3	g15069	4	53	61	86.8852
nc3	g15072	74	0	880	0.0
nc3	g15073	62	0	776	0.0
nc3	g15074	1	0	11	0.0
nc3	g15075	24	0	281	0.0
nc3	g15076	133	6	8077	0.0743
nc3	g15077	18	4	272	1.4706
nc3	g15078	9	0	123	0.0
nc3	g15079	29	0	328	0.0
nc3	g15080	19	0	259	0.0
nc3	g15081	23	0	258	0.0
nc3	g15082	46	1	672	0.1488
nc3	g15083	20	0	258	0.0
nc3	g15086	2	0	22	0.0
nc3	g15087	16	0	198	0.0
nc3	g15088	82	0	1118	0.0
nc3	g15090	4	16	56	28.5714
nc3	g15091	21	0	277	0.0
nc3	g15092	1	0	12	0.0
nc3	g15094	1	7	10	70.0
nc3	g15098	26	0	292	0.0
nc3	g15105	21	14	230	6.087
nc3	g15106	7	72	91	79.1209
nc3	g15108	9	5	124	4.0323
nc3	g15109	15	3	198	1.5152
nc3	g15110	23	0	273	0.0
nc3	g15111	19	0	234	0.0
nc3	g15112	5	24	68	35.2941
nc3	g15113	178	1	2116	0.0473
nc3	g15114	3	21	38	55.2632
nc3	g15115	6	0	64	0.0
nc3	g15116	36	3	451	0.6652
nc3	g15119	19	0	216	0.0
nc3	g15120	6	0	71	0.0
nc3	g15121	58	0	1038	0.0
nc3	g15124	256	11	3319	0.3314
nc3	g15128	4	12	49	24.4898
nc3	g15129	118	6	1424	0.4213
nc3	g15130	96	2	1246	0.1605
nc3	g15131	23	0	310	0.0
nc3	g15132	119	0	1542	0.0
nc3	g15133	113	5	1690	0.2959
nc3	g15134	3	0	30	0.0
nc3	g15136	1	0	10	0.0
nc3	g15137	19	6	274	2.1898
nc3	g15138	44	0	523	0.0
nc3	g15139	71	3	921	0.3257
nc3	g15140	19	0	208	0.0
nc3	g15141	15	1	213	0.4695
nc3	g15146	11	110	172	63.9535
nc3	g15153	2	18	51	35.2941
nc3	g15154	126	1079	4925	21.9086
nc3	g15155	7	73	123	59.3496
nc3	g15156	45	1396	1924	72.5572
nc3	g15161	22	190	531	35.7815
nc3	g15162	2	19	51	37.2549
nc3	g15163	18	119	444	26.8018
nc3	g15164	2	0	20	0.0
nc3	g15166	329	25	5164	0.4841
nc3	g15167	3	0	31	0.0
nc3	g15172	4	0	46	0.0
nc3	g15175	1	0	10	0.0
nc3	g15176	20	0	295	0.0
nc3	g15177	15	0	224	0.0
nc3	g15178	41	0	493	0.0
nc3	g15179	41	9	525	1.7143
nc3	g15180	55	8	701	1.1412
nc3	g15181	1	0	11	0.0
nc3	g15182	33	1	413	0.2421
nc3	g15188	64	74	797	9.2848
nc3	g15189	18	8	230	3.4783
nc3	g15190	2	4	20	20.0
nc3	g15191	18	0	216	0.0
nc3	g15192	1	0	10	0.0
nc3	g15193	2	0	20	0.0
nc3	g15194	36	1	442	0.2262
nc3	g15195	56	0	668	0.0
nc3	g15196	7	0	75	0.0
nc3	g15197	6	0	77	0.0
nc3	g15205	4	0	58	0.0
nc3	g15207	34	5	566	0.8834
nc3	g15208	1	9	12	75.0
nc3	g15209	39	0	481	0.0
nc3	g15210	21	0	257	0.0
nc3	g15212	15	0	206	0.0
nc3	g15213	17	0	205	0.0
nc3	g15219	1	10	10	100.0
nc3	g15220	15	0	170	0.0
nc3	g15221	1	0	10	0.0
nc3	g15222	7	0	70	0.0
nc3	g15223	46	1	697	0.1435
nc3	g15224	7	0	72	0.0
nc3	g15225	20	0	284	0.0
nc3	g15226	4	0	50	0.0
nc3	g15227	6	0	97	0.0
nc3	g15231	7	0	77	0.0
nc3	g15233	104	1	2838	0.0352
nc3	g15237	9	1	96	1.0417
nc3	g15238	5	0	56	0.0
nc3	g15239	24	24	289	8.3045
nc3	g15240	36	0	388	0.0
nc3	g15241	7	0	90	0.0
nc3	g15242	14	1	162	0.6173
nc3	g15243	27	0	358	0.0
nc3	g15244	1	0	10	0.0
nc3	g15245	29	165	659	25.0379
nc3	g15248	22	0	249	0.0
nc3	g15249	28	0	350	0.0
nc3	g15250	180	25	2367	1.0562
nc3	g15252	17	52	199	26.1307
nc3	g15254	4	0	82	0.0
nc3	g15259	53	4	750	0.5333
nc3	g15264	6	32	74	43.2432
nc3	g15265	6	12	68	17.6471
nc3	g15266	6	0	80	0.0
nc3	g15267	87	1	1950	0.0513
nc3	g15271	2	0	21	0.0
nc3	g15272	27	2	324	0.6173
nc3	g15274	1	0	10	0.0
nc3	g15275	17	0	220	0.0
nc3	g15277	16	0	237	0.0
nc3	g15279	27	0	298	0.0
nc3	g15280	3	0	30	0.0
nc3	g15281	55	0	678	0.0
nc3	g15282	1	0	10	0.0
nc3	g15283	65	8	845	0.9467
nc3	g15288	46	36	559	6.4401
nc3	g15289	53	4	638	0.627
nc3	g15290	26	0	284	0.0
nc3	g15291	18	8	216	3.7037
nc3	g15292	19	0	246	0.0
nc3	g15295	14	0	165	0.0
nc3	g15297	30	0	443	0.0
nc3	g15302	39	0	475	0.0
nc3	g15303	165	3	2208	0.1359
nc3	g15305	113	3	1881	0.1595
nc3	g15310	57	11	783	1.4049
nc3	g15311	3	0	32	0.0
nc3	g15312	47	20	600	3.3333
nc3	g15316	20	0	315	0.0
nc3	g15317	13	0	162	0.0
nc3	g15318	18	0	216	0.0
nc3	g15319	34	336	593	56.661
nc3	g15320	9	0	100	0.0
nc3	g15321	8	0	91	0.0
nc3	g15322	5	5	57	8.7719
nc3	g15323	40	1	442	0.2262
nc3	g15324	18	0	193	0.0
nc3	g15329	149	0	3016	0.0
nc3	g15330	15	0	189	0.0
nc3	g15331	31	1	1037	0.0964
nc3	g15333	84	1525	2367	64.4275
nc3	g15340	174	2	2548	0.0785
nc3	g15347	9	5	130	3.8462
nc3	g15348	6	45	64	70.3125
nc3	g15349	8	0	100	0.0
nc3	g15350	11	0	117	0.0
nc3	g15351	65	0	868	0.0
nc3	g15352	82	49	2955	1.6582
nc3	g15355	15	1	185	0.5405
nc3	g15356	20	0	255	0.0
nc3	g15358	104	76	1515	5.0165
nc3	g15360	6	0	64	0.0
nc3	g15361	57	0	638	0.0
nc3	g15362	138	2	2403	0.0832
nc3	g15363	12	20	383	5.2219
nc3	g15364	17	0	191	0.0
nc3	g15366	33	0	368	0.0
nc3	g15367	57	2	734	0.2725
nc3	g15368	88	5	1034	0.4836
nc3	g15370	116	18	1356	1.3274
nc3	g15371	12	0	132	0.0
nc3	g15376	32	3	379	0.7916
nc3	g15378	2	0	22	0.0
nc3	g15384	1	13	14	92.8571
nc3	g15388	4	43	62	69.3548
nc3	g15389	63	0	785	0.0
nc3	g15390	76	0	940	0.0
nc3	g15391	50	1	620	0.1613
nc3	g15393	32	0	334	0.0
nc3	g15394	49	0	576	0.0
nc3	g15395	18	32	210	15.2381
nc3	g15396	1	12	12	100.0
nc3	g15397	34	51	416	12.2596
nc3	g15413	6	0	72	0.0
nc3	g15414	21	0	250	0.0
nc3	g15416	36	0	397	0.0
nc3	g15417	12	23	128	17.9688
nc3	g15420	10	51	135	37.7778
nc3	g15421	11	65	149	43.6242
nc3	g15422	34	1	439	0.2278
nc3	g15423	27	0	314	0.0
nc3	g15424	2	0	23	0.0
nc3	g15425	2	14	23	60.8696
nc3	g15426	11	133	179	74.3017
nc3	g15427	6	38	65	58.4615
nc3	g15435	4	0	43	0.0
nc3	g15439	5	0	53	0.0
nc3	g15444	1	8	11	72.7273
nc3	g15445	3	0	34	0.0
nc3	g15446	8	0	86	0.0
nc3	g15448	22	0	275	0.0
nc3	g15450	2	0	27	0.0
nc3	g15456	16	0	172	0.0
nc3	g15457	41	1	556	0.1799
nc3	g15458	8	4	96	4.1667
nc3	g15459	7	0	73	0.0
nc3	g15461	2	0	21	0.0
nc3	g15464	16	0	208	0.0
nc3	g15465	34	0	511	0.0
nc3	g15466	6	0	66	0.0
nc3	g15467	1	0	10	0.0
nc3	g15476	63	0	785	0.0
nc3	g15478	38	0	477	0.0
nc3	g15479	14	4	164	2.439
nc3	g15483	2	9	24	37.5
nc3	g15485	18	0	271	0.0
nc3	g15486	1	0	10	0.0
nc3	g15491	13	0	135	0.0
nc3	g15494	21	1	224	0.4464
nc3	g15495	22	0	260	0.0
nc3	g15496	7	0	80	0.0
nc3	g15497	103	2	1545	0.1294
nc3	g15498	16	49	179	27.3743
nc3	g15508	11	4	128	3.125
nc3	g15509	34	82	605	13.5537
nc3	g15510	3	0	31	0.0
nc3	g15511	13	0	130	0.0
nc3	g15512	2	20	21	95.2381
nc3	g15514	2	0	30	0.0
nc3	g15515	28	0	502	0.0
nc3	g15516	17	51	640	7.9688
nc3	g15517	3	0	33	0.0
nc3	g15523	67	0	864	0.0
nc3	g15524	1	0	11	0.0
nc3	g15530	31	0	631	0.0
nc3	g15531	21	1	349	0.2865
nc3	g15532	22	0	309	0.0
nc3	g15534	1	0	10	0.0
nc3	g15535	23	0	304	0.0
nc3	g15536	25	0	307	0.0
nc3	g15537	38	3	494	0.6073
nc3	g15540	15	0	205	0.0
nc3	g15541	48	0	557	0.0
nc3	g15542	7	0	110	0.0
nc3	g15544	3	0	31	0.0
nc3	g15550	2	0	23	0.0
nc3	g15553	4	48	49	97.9592
nc3	g15559	22	0	408	0.0
nc3	g15560	6	0	74	0.0
nc3	g15561	8	0	111	0.0
nc3	g15575	83	0	1368	0.0
nc3	g15576	9	1	97	1.0309
nc3	g15577	5	0	59	0.0
nc3	g15578	12	0	128	0.0
nc3	g15579	3	0	32	0.0
nc3	g15580	44	4	519	0.7707
nc3	g15589	12	0	172	0.0
nc3	g15590	9	6	103	5.8252
nc3	g15591	3	0	31	0.0
nc3	g15592	5	1	85	1.1765
nc3	g15594	10	0	157	0.0
nc3	g15595	60	6	774	0.7752
nc3	g15596	4	1	40	2.5
nc3	g15598	84	0	1274	0.0
nc3	g15599	11	0	167	0.0
nc3	g15601	43	0	607	0.0
nc3	g15602	6	0	60	0.0
nc3	g15603	74	60	997	6.0181
nc3	g15604	4	0	48	0.0
nc3	g15607	65	0	931	0.0
nc3	g15609	1	8	10	80.0
nc3	g15612	14	22	207	10.628
nc3	g15614	11	0	127	0.0
nc3	g15615	4	45	48	93.75
nc3	g15616	54	78	687	11.3537
nc3	g15617	7	0	75	0.0
nc3	g15624	9	0	95	0.0
nc3	g15632	2	21	25	84.0
nc3	g15635	3	29	30	96.6667
nc3	g15636	29	1	353	0.2833
nc3	g15637	19	11	238	4.6218
nc3	g15638	47	34	671	5.0671
nc3	g15639	2	0	20	0.0
nc3	g15640	7	98	981	9.9898
nc3	g15643	36	0	615	0.0
nc3	g15645	6	0	77	0.0
nc3	g15646	53	17	657	2.5875
nc3	g15647	11	0	116	0.0
nc3	g15648	20	0	236	0.0
nc3	g15649	1	0	12	0.0
nc3	g15650	118	0	2207	0.0
nc3	g15651	14	0	172	0.0
nc3	g15652	90	0	1073	0.0
nc3	g15653	36	1	436	0.2294
nc3	g15654	97	0	1234	0.0
nc3	g15656	4	48	124	38.7097
nc3	g15658	2	16	24	66.6667
nc3	g15659	14	120	169	71.0059
nc3	g15664	18	0	206	0.0
nc3	g15665	20	0	230	0.0
nc3	g15666	1	0	15	0.0
nc3	g15667	3	34	35	97.1429
nc3	g15669	7	0	94	0.0
nc3	g15670	58	0	771	0.0
nc3	g15671	5	0	81	0.0
nc3	g15672	11	0	121	0.0
nc3	g15673	25	0	298	0.0
nc3	g15674	32	0	382	0.0
nc3	g15675	67	0	985	0.0
nc3	g15676	34	2	442	0.4525
nc3	g15677	22	0	255	0.0
nc3	g15678	82	0	916	0.0
nc3	g15679	2	19	23	82.6087
nc3	g15681	57	493	3409	14.4617
nc3	g15682	20	4	241	1.6598
nc3	g15683	28	0	496	0.0
nc3	g15684	84	37	1211	3.0553
nc3	g15685	1	6	10	60.0
nc3	g15687	7	0	80	0.0
nc3	g15689	1	0	10	0.0
nc3	g15690	6	66	70	94.2857
nc3	g15692	7	0	76	0.0
nc3	g15693	2	0	24	0.0
nc3	g15695	8	17	88	19.3182
nc3	g15696	3	1	30	3.3333
nc3	g15697	8	0	87	0.0
nc3	g15698	1	0	10	0.0
nc3	g15699	48	4	562	0.7117
nc3	g15708	23	0	288	0.0
nc3	g15710	7	0	79	0.0
nc3	g15712	104	9	1321	0.6813
nc3	g15713	16	0	184	0.0
nc3	g15714	18	0	203	0.0
nc3	g15715	29	0	475	0.0
nc3	g15716	5	0	58	0.0
nc3	g15717	13	5	182	2.7473
nc3	g15719	1	0	11	0.0
nc3	g15720	91	0	1084	0.0
nc3	g15721	2	0	24	0.0
nc3	g15722	96	4	1204	0.3322
nc3	g15723	567	61	9159	0.666
nc3	g15724	360	5	4884	0.1024
nc3	g15725	689	1965	27040	7.267
nc3	g15726	1	0	11	0.0
nc3	g15728	20	1	278	0.3597
nc3	g15730	4	0	49	0.0
nc3	g15731	27	0	334	0.0
nc3	g15732	11	0	138	0.0
nc3	g15733	19	0	215	0.0
nc3	g15734	9	0	108	0.0
nc3	g15735	51	2	596	0.3356
nc3	g15736	3	0	30	0.0
nc3	g15738	171	1614	11278	14.311
nc3	g15741	14	120	304	39.4737
nc3	g15742	48	125	1041	12.0077
nc3	g15743	10	33	127	25.9843
nc3	g15751	92	1	2171	0.0461
nc3	g15752	33	9	423	2.1277
nc3	g15753	1	0	12	0.0
nc3	g15755	46	1	507	0.1972
nc3	g15756	35	17	520	3.2692
nc3	g15757	14	0	166	0.0
nc3	g15758	5	0	67	0.0
nc3	g15759	41	0	455	0.0
nc3	g15760	25	1	327	0.3058
nc3	g15761	73	1036	5470	18.9397
nc3	g15762	37	0	419	0.0
nc3	g15763	61	188	817	23.011
nc3	g15766	6	0	66	0.0
nc3	g15767	3	0	33	0.0
nc3	g15773	60	0	763	0.0
nc3	g15774	26	2	450	0.4444
nc3	g15785	11	0	120	0.0
nc3	g15786	36	1	489	0.2045
nc3	g15787	31	0	430	0.0
nc3	g15788	8	0	136	0.0
nc3	g15791	56	991	3157	31.3906
nc3	g15794	16	0	169	0.0
nc3	g15795	26	0	338	0.0
nc3	g15798	46	101	2471	4.0874
nc3	g15799	12	40	231	17.316
nc3	g15809	18	1	194	0.5155
nc3	g15815	42	16	569	2.812
nc3	g15816	70	8	1074	0.7449
nc3	g15840	131	8	1768	0.4525
nc3	g15844	14	24	176	13.6364
nc3	g15848	20	68	357	19.0476
nc3	g15852	75	637	2805	22.7094
nc3	g15854	60	23	873	2.6346
nc3	g15855	9	0	98	0.0
nc3	g15857	107	5	1668	0.2998
nc3	g15861	7	0	71	0.0
nc3	g15863	1	0	11	0.0
nc3	g15866	2	0	24	0.0
nc3	g15867	4	0	42	0.0
nc3	g15875	15	0	203	0.0
nc3	g15876	16	0	183	0.0
nc3	g15877	10	0	104	0.0
nc3	g15879	25	0	292	0.0
nc3	g15883	12	0	135	0.0
nc3	g15884	29	0	415	0.0
nc3	g15885	2	0	20	0.0
nc3	g15891	10	0	128	0.0
nc3	g15893	1	0	18	0.0
nc3	g15894	4	0	42	0.0
nc3	g15896	6	0	65	0.0
nc3	g15897	7	0	77	0.0
nc3	g15899	4	0	42	0.0
nc3	g15900	134	2	3169	0.0631
nc3	g15901	15	0	362	0.0
nc3	g15905	1	1	10	10.0
nc3	g15906	15	85	385	22.0779
nc3	g15907	49	129	913	14.1292
nc3	g15909	20	0	249	0.0
nc3	g15914	100	87	1581	5.5028
nc3	g15915	4	0	42	0.0
nc3	g15916	10	0	120	0.0
nc3	g15922	11	0	148	0.0
nc3	g15926	28	0	368	0.0
nc3	g15927	60	1	794	0.1259
nc3	g15928	8	0	91	0.0
nc3	g15929	1	0	10	0.0
nc3	g15930	12	12	146	8.2192
nc3	g15934	43	4	540	0.7407
nc3	g15935	5	0	53	0.0
nc3	g15936	2	0	23	0.0
nc3	g15937	60	0	685	0.0
nc3	g15938	17	0	211	0.0
nc3	g15939	4	0	47	0.0
nc3	g15940	1	0	10	0.0
nc3	g15941	5	0	50	0.0
nc3	g15943	5	0	50	0.0
nc3	g15944	42	0	524	0.0
nc3	g15945	38	0	494	0.0
nc3	g15946	25	0	293	0.0
nc3	g15947	118	0	1417	0.0
nc3	g15948	3	7	33	21.2121
nc3	g15949	2	19	35	54.2857
nc3	g15951	1	5	10	50.0
nc3	g15952	10	72	124	58.0645
nc3	g15954	68	0	815	0.0
nc3	g15955	38	0	470	0.0
nc3	g15956	7	0	93	0.0
nc3	g15960	103	0	1271	0.0
nc3	g15961	20	3	260	1.1538
nc3	g15962	2	0	20	0.0
nc3	g15963	16	0	177	0.0
nc3	g15964	2	0	22	0.0
nc3	g15965	25	0	313	0.0
nc3	g15966	3	0	49	0.0
nc3	g15969	1	7	10	70.0
nc3	g15971	15	0	220	0.0
nc3	g15972	156	23	1952	1.1783
nc3	g15973	18	31	328	9.4512
nc3	g15978	2	10	23	43.4783
nc3	g15979	21	4	303	1.3201
nc3	g15983	22	0	237	0.0
nc3	g15984	132	22	4885	0.4504
nc3	g15987	71	426	1573	27.082
nc3	g15992	1	9	15	60.0
nc3	g15994	21	109	720	15.1389
nc3	g15995	132	1852	6993	26.4836
nc3	g15996	32	279	2932	9.5157
nc3	g15997	2	6	48	12.5
nc3	g16004	9	0	103	0.0
nc3	g16005	62	3	853	0.3517
nc3	g16006	25	55	283	19.4346
nc3	g16008	47	0	662	0.0
nc3	g16010	24	0	273	0.0
nc3	g16011	47	0	608	0.0
nc3	g16015	3	0	32	0.0
nc3	g16018	3	0	40	0.0
nc3	g16019	2	0	20	0.0
nc3	g16021	1	0	10	0.0
nc3	g16025	80	4	1023	0.391
nc3	g16026	15	0	241	0.0
nc3	g16027	93	0	1287	0.0
nc3	g16028	1	0	10	0.0
nc3	g16035	3	1	31	3.2258
nc3	g16036	22	0	240	0.0
nc3	g16037	209	7	2966	0.236
nc3	g16038	27	0	360	0.0
nc3	g16040	27	86	366	23.4973
nc3	g16041	82	33	1088	3.0331
nc3	g16044	122	91	1559	5.8371
nc3	g16045	27	0	355	0.0
nc3	g16046	2	20	24	83.3333
nc3	g16047	7	0	77	0.0
nc3	g16048	7	0	90	0.0
nc3	g16049	21	0	281	0.0
nc3	g16053	45	1	1446	0.0692
nc3	g16054	43	0	737	0.0
nc3	g16058	11	0	147	0.0
nc3	g16070	9	0	105	0.0
nc3	g16072	11	0	171	0.0
nc3	g16073	7	0	78	0.0
nc3	g16074	3	0	39	0.0
nc3	g16076	150	276	3699	7.4615
nc3	g16078	26	0	295	0.0
nc3	g16085	19	0	204	0.0
nc3	g16086	39	0	454	0.0
nc3	g16087	16	0	174	0.0
nc3	g16088	11	0	126	0.0
nc3	g16089	8	66	94	70.2128
nc3	g16090	26	1	283	0.3534
nc3	g16091	43	10	552	1.8116
nc3	g16094	10	55	128	42.9688
nc3	g16095	68	5	846	0.591
nc3	g16097	23	6	271	2.214
nc3	g16098	132	4	1610	0.2484
nc3	g16099	76	1	961	0.1041
nc3	g16100	22	0	281	0.0
nc3	g16101	8	0	107	0.0
nc3	g16102	1	0	10	0.0
nc3	g16104	1	12	13	92.3077
nc3	g16107	120	534	2445	21.8405
nc3	g16108	19	41	321	12.7726
nc3	g16109	67	57	1119	5.0938
nc3	g16110	10	0	106	0.0
nc3	g16113	53	2	692	0.289
nc3	g16114	13	118	171	69.0058
nc3	g16115	2	0	27	0.0
nc3	g16116	2	18	20	90.0
nc3	g16117	61	134	874	15.3318
nc3	g16118	119	0	1564	0.0
nc3	g16119	25	0	272	0.0
nc3	g16120	69	1	894	0.1119
nc3	g16121	3	22	34	64.7059
nc3	g16122	28	0	406	0.0
nc3	g16123	3	0	30	0.0
nc3	g16125	10	0	109	0.0
nc3	g16126	2	0	20	0.0
nc3	g16127	140	1	1817	0.055
nc3	g16128	221	3	3106	0.0966
nc3	g16130	5	0	51	0.0
nc3	g16131	221	0	3227	0.0
nc3	g16132	1	9	10	90.0
nc3	g16133	113	727	2678	27.1471
nc3	g16137	399	22	7648	0.2877
nc3	g16140	12	0	132	0.0
nc3	g16142	1	11	11	100.0
nc3	g16143	77	17	966	1.7598
nc3	g16144	5	0	59	0.0
nc3	g16145	11	0	145	0.0
nc3	g16146	6	0	65	0.0
nc3	g16148	25	0	489	0.0
nc3	g16152	7	0	81	0.0
nc3	g16154	4	0	40	0.0
nc3	g16155	90	9	1123	0.8014
nc3	g16156	20	0	243	0.0
nc3	g16157	27	27	354	7.6271
nc3	g16158	9	0	103	0.0
nc3	g16159	66	89	806	11.0422
nc3	g16160	21	0	319	0.0
nc3	g16161	13	0	160	0.0
nc3	g16165	1	13	14	92.8571
nc3	g16168	44	0	523	0.0
nc3	g16170	4	0	47	0.0
nc3	g16172	26	0	338	0.0
nc3	g16173	62	229	881	25.9932
nc3	g16175	29	3	397	0.7557
nc3	g16176	1	0	10	0.0
nc3	g16180	9	0	100	0.0
nc3	g16181	44	0	573	0.0
nc3	g16182	10	7	111	6.3063
nc3	g16183	3	0	30	0.0
nc3	g16184	5	0	50	0.0
nc3	g16185	13	0	160	0.0
nc3	g16186	13	0	177	0.0
nc3	g16190	1	10	10	100.0
nc3	g16191	4	0	45	0.0
nc3	g16192	1	6	10	60.0
nc3	g16196	27	0	398	0.0
nc3	g16199	3	30	36	83.3333
nc3	g16202	38	303	2535	11.9527
nc3	g16203	11	64	115	55.6522
nc3	g16204	4	0	45	0.0
nc3	g16206	19	3	239	1.2552
nc3	g16207	87	0	1319	0.0
nc3	g16208	35	435	698	62.3209
nc3	g16211	68	4	830	0.4819
nc3	g16212	31	0	318	0.0
nc3	g16214	18	0	192	0.0
nc3	g16215	6	14	63	22.2222
nc3	g16217	83	3	1054	0.2846
nc3	g16218	18	0	204	0.0
nc3	g16219	20	0	381	0.0
nc3	g16220	9	0	98	0.0
nc3	g16225	24	4	383	1.0444
nc3	g16226	1	0	10	0.0
nc3	g16227	93	33	1103	2.9918
nc3	g16228	68	1	870	0.1149
nc3	g16230	57	0	732	0.0
nc3	g16231	11	0	148	0.0
nc3	g16232	12	0	137	0.0
nc3	g16233	6	0	66	0.0
nc3	g16238	10	0	132	0.0
nc3	g16239	134	0	1770	0.0
nc3	g16240	24	1	295	0.339
nc3	g16242	1	0	11	0.0
nc3	g16248	65	193	1176	16.4116
nc3	g16251	62	7	761	0.9198
nc3	g16252	5	0	54	0.0
nc3	g16253	41	0	617	0.0
nc3	g16254	4	0	68	0.0
nc3	g16256	23	197	1188	16.5825
nc3	g16257	2	0	20	0.0
nc3	g16262	3	0	31	0.0
nc3	g16268	1	11	11	100.0
nc3	g16269	100	4861	7939	61.2294
nc3	g16270	9	0	96	0.0
nc3	g16271	10	0	117	0.0
nc3	g16272	9	48	104	46.1538
nc3	g16280	19	0	301	0.0
nc3	g16290	9	0	130	0.0
nc3	g16291	11	1	204	0.4902
nc3	g16296	14	0	262	0.0
nc3	g16297	3	0	48	0.0
nc3	g16298	16	0	199	0.0
nc3	g16299	1	0	13	0.0
nc3	g16307	15	0	271	0.0
nc3	g16310	27	1	307	0.3257
nc3	g16311	51	0	685	0.0
nc3	g16312	2	0	25	0.0
nc3	g16313	4	0	63	0.0
nc3	g16314	51	9	729	1.2346
nc3	g16315	20	33	555	5.9459
nc3	g16316	12	0	138	0.0
nc3	g16317	22	1	284	0.3521
nc3	g16319	1	0	12	0.0
nc3	g16320	6	0	79	0.0
nc3	g16321	2	16	20	80.0
nc3	g16322	1	7	10	70.0
nc3	g16323	25	0	372	0.0
nc3	g16324	119	0	1480	0.0
nc3	g16329	60	10	910	1.0989
nc3	g16331	20	126	255	49.4118
nc3	g16332	27	1	444	0.2252
nc3	g16333	51	0	905	0.0
nc3	g16334	161	347	4755	7.2976
nc3	g16336	46	65	525	12.381
nc3	g16337	67	26	869	2.9919
nc3	g16338	3	0	48	0.0
nc3	g16341	1	9	10	90.0
nc3	g16343	131	46	1761	2.6122
nc3	g16346	12	0	156	0.0
nc3	g16349	9	95	117	81.1966
nc3	g16350	6	0	61	0.0
nc3	g16351	9	5	112	4.4643
nc3	g16352	10	0	110	0.0
nc3	g16353	17	5	187	2.6738
nc3	g16355	18	1	203	0.4926
nc3	g16356	1	5	10	50.0
nc3	g16359	2	0	21	0.0
nc3	g16366	11	0	149	0.0
nc3	g16368	53	1	701	0.1427
nc3	g16369	112	2	1595	0.1254
nc3	g16370	72	95	957	9.9269
nc3	g16371	120	2	1460	0.137
nc3	g16373	30	0	321	0.0
nc3	g16374	36	0	378	0.0
nc3	g16376	1	0	10	0.0
nc3	g16377	4	0	41	0.0
nc3	g16379	1	0	10	0.0
nc3	g16383	10	22	137	16.0584
nc3	g16384	5	28	56	50.0
nc3	g16385	14	50	235	21.2766
nc3	g16386	1	2	13	15.3846
nc3	g16387	2	0	25	0.0
nc3	g16388	4	9	48	18.75
nc3	g16393	28	0	352	0.0
nc3	g16394	5	0	60	0.0
nc3	g16395	43	0	921	0.0
nc3	g16398	35	0	658	0.0
nc3	g16399	30	16	423	3.7825
nc3	g16400	26	0	288	0.0
nc3	g16402	2	18	20	90.0
nc3	g16404	66	1	785	0.1274
nc3	g16406	10	0	116	0.0
nc3	g16407	75	1	1019	0.0981
nc3	g16408	38	0	548	0.0
nc3	g16413	6	4	75	5.3333
nc3	g16420	13	0	139	0.0
nc3	g16421	141	3	1730	0.1734
nc3	g16426	2	0	23	0.0
nc3	g16428	5	0	52	0.0
nc3	g16430	283	275	4632	5.937
nc3	g16431	4	7	51	13.7255
nc3	g16432	2	0	20	0.0
nc3	g16446	34	3	445	0.6742
nc3	g16447	31	299	710	42.1127
nc3	g16448	7	53	92	57.6087
nc3	g16449	24	41	351	11.6809
nc3	g16450	5	20	68	29.4118
nc3	g16451	14	99	215	46.0465
nc3	g16452	6	78	135	57.7778
nc3	g16453	10	100	209	47.8469
nc3	g16457	68	38	2975	1.2773
nc3	g16458	74	96	2140	4.486
nc3	g16464	54	0	787	0.0
nc3	g16472	10	0	159	0.0
nc3	g16473	3	0	60	0.0
nc3	g16474	15	0	164	0.0
nc3	g16475	14	0	159	0.0
nc3	g16476	41	12	466	2.5751
nc3	g16478	17	0	199	0.0
nc3	g16480	1	0	10	0.0
nc3	g16481	6	0	66	0.0
nc3	g16482	23	0	368	0.0
nc3	g16483	1	15	18	83.3333
nc3	g16485	9	66	119	55.4622
nc3	g16486	85	102	1007	10.1291
nc3	g16487	15	7	186	3.7634
nc3	g16488	105	61	1403	4.3478
nc3	g16490	13	0	184	0.0
nc3	g16492	28	0	326	0.0
nc3	g16493	16	0	221	0.0
nc3	g16494	19	0	278	0.0
nc3	g16495	2	16	23	69.5652
nc3	g16496	1	9	13	69.2308
nc3	g16499	2	15	21	71.4286
nc3	g16500	6	0	74	0.0
nc3	g16501	189	1	2509	0.0399
nc3	g16502	3	0	30	0.0
nc3	g16503	3	0	34	0.0
nc3	g16504	11	3	120	2.5
nc3	g16505	20	0	245	0.0
nc3	g16508	91	3	1209	0.2481
nc3	g16509	17	11	202	5.4455
nc3	g16510	2	21	24	87.5
nc3	g16512	3	20	44	45.4545
nc3	g16514	3	36	40	90.0
nc3	g16520	18	0	211	0.0
nc3	g16521	15	9	169	5.3254
nc3	g16522	1	0	14	0.0
nc3	g16523	19	0	220	0.0
nc3	g16524	18	0	199	0.0
nc3	g16525	4	0	43	0.0
nc3	g16527	51	1	608	0.1645
nc3	g16528	103	0	1405	0.0
nc3	g16530	118	2	1438	0.1391
nc3	g16531	46	0	548	0.0
nc3	g16532	14	0	166	0.0
nc3	g16533	15	1	195	0.5128
nc3	g16534	5	0	54	0.0
nc3	g16536	2	0	30	0.0
nc3	g16537	9	0	115	0.0
